Naam,Type,Status,URL,Toelichting,Impact IenW
Proposal to adopt an interoperable Europe act,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-eu-digital-interoperabilioty-strategy,,
2030 policy programme “Path to the Digital Decade”,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-path-to-the-digital-decade,,
"Proposal for a regulation laying down measures on cybersecurity at the institutions, bodies, offices and agencies of the Union",Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-proposal-for-cybersecurity-regulation,,
European Declaration on Digital Rights and Principles for the Digital Decade,Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-declaration-on-digital-rights-and-principles,,
A Digital Decade for children and youth: the new European strategy for a better internet for kids (BIK+),Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-better-internet-for-kids-(bik),,
Regulation establishing the European defence industry reinforcement through common procurement act (EDIPRA),Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-defence-industry-reinforcement-through-common-procurement-act-(edirpa),,
European critical raw materials act,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-critical-raw-material-act,,
Gigabit Infrastructure Act,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-review-of-the-broadband-cost-reduction-directive,,
Data collection and sharing relating to short-term accommodation rental services,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-short-term-accommodation-rental-services,,
Net-zero industry act,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-net-zero-industry-act,,
Proposal for a regulation of the European Parliament and of the Council  amending Regulation (EU) 2019/1009 as regards the digital labelling of EU fertilising products,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-digital-labelling-of-eu-fertilising-products,,
"Regulation of the European Parliament and of the Council
on establishing the Act in Support of Ammunition Production",Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-act-in-support-of-ammunition-procurement-(asap),,
Strategic Technologies for Europe Platform (‘STEP’) ,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-strategic-technologies-for-europe-platform-(‘step’),,
European supercomputer capacity for artificial intelligence start-ups,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-supercomputer-capacity-for-artificial-intelligence-start-ups,,
Market surveillance of products,Legislative,Ingetrokken,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-market-surveillance-of-products,,
Services e-card,Legislative,Ingetrokken,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-services-e-card,,
Single Market Information Tool (SMIT),Legislative,Ingetrokken,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-smit,,
Services notification procedure,Legislative,Ingetrokken,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-services-notification-procedure,,
Amendment of type approval rules for motor vehicles with respect to conformity factors for NOx emissions,Legislative,Ingetrokken,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-type-approval-of-motor-vehicles-conformity-factors-for-nox-emissions,,
